MLB World Series Winners,,,
SEASON,WINNER,LOSER,SERIES
2025,Los Angeles Dodgers,Toronto Blue Jays,4-3
2024,Los Angeles Dodgers,New York Yankees ,4-1
2023,Texas Rangers,Arizona Diamondbacks,4-1
2022,Houston Astros,Philadelphia Phillies,4-2
2021,Atlanta Braves,Houston Astros,4-2
2020,Los Angeles Dodgers,Tampa Bay Rays,4-2
2019,Washington Nationals,Houston Astros,4-3
2018,Boston Red Sox,Los Angeles Dodgers,4-1
2017,Houston Astros,Los Angeles Dodgers,4-3
2016,Chicago Cubs,Cleveland Indians,4-3
2015,Kansas City Royals,New York Mets,4-1
2014,San Francisco Giants,Kansas City Royals,4-3
2013,Boston Red Sox,St. Louis Cardinals,4-2
2012,San Francisco Giants,Detroit Tigers,4-0
2011,St. Louis Cardinals,Texas Rangers,4-3
2010,San Francisco Giants,Texas Rangers,4-1
2009,New York Yankees,Philadelphia Phillies,4-2
2008,Philadelphia Phillies,Tampa Bay Rays,4-1
2007,Boston Red Sox,Colorado Rockies,4-0
2006,St. Louis Cardinals,Detroit Tigers,4-1
2005,Chicago White Sox,Houston Astros,4-0
2004,Boston Red Sox,St. Louis Cardinals,4-0
2003,Florida Marlins,New York Yankees,4-2
2002,Anaheim Angels,San Francisco Giants,4-3
2001,Arizona Diamondbacks,New York Yankees,4-3
2000,New York Yankees,New York Mets,4-1