team,attendance,Attend/G,Est. Payroll,Season
St. Louis Cardinals,3262109.0,40273.0,112071000.0,2012
Tampa Bay Rays,1559681.0,19255.0,63368700.0,2012
Texas Rangers,3460280.0,42720.0,124119900.0,2012
Toronto Blue Jays,2099663.0,25922.0,82352700.0,2012
Washington Nationals,2370794.0,29269.0,92386000.0,2012
Arizona Diamondbacks,2134895.0,26357.0,80060500.0,2013
Atlanta Braves,2548679.0,31465.0,95618750.0,2013
Baltimore Orioles,2357561.0,29106.0,100832000.0,2013
Boston Red Sox,2833333.0,34979.0,175395500.0,2013
Chicago Cubs,2642682.0,32626.0,67874166.0,2013
Chicago White Sox,1768413.0,21832.0,81401900.0,2013
Cincinnati Reds,2492101.0,31151.0,106255535.0,2013
Cleveland Indians,1572926.0,19419.0,87342433.0,2013
Colorado Rockies,2793828.0,34492.0,73768000.0,2013
Detroit Tigers,3083397.0,38067.0,154407000.0,2013
Houston Astros,1651883.0,20394.0,14672300.0,2013
Kansas City Royals,1750754.0,21614.0,87426250.0,2013
Los Angeles Angels of Anaheim,3019505.0,37278.0,116532500.0,2013
Los Angeles Dodgers,3743527.0,46216.0,254161000.0,2013
Miami Marlins,1586322.0,19584.0,24761900.0,2013
Milwaukee Brewers,2531105.0,31248.0,86945000.0,2013
Minnesota Twins,2477644.0,30588.0,63042500.0,2013
New York Mets,2135657.0,26366.0,69425860.0,2013
New York Yankees,3279589.0,40489.0,246534750.0,2013
Oakland Athletics,1809302.0,22337.0,69440000.0,2013
Philadelphia Phillies,3012403.0,37190.0,150860000.0,2013
Pittsburgh Pirates,2256862.0,27862.0,99230000.0,2013
San Diego Padres,2166691.0,26749.0,65988600.0,2013
San Francisco Giants,3369106.0,41087.0,139845667.0,2013
Seattle Mariners,1761546.0,21747.0,78887000.0,2013
St. Louis Cardinals,3369769.0,41602.0,112583000.0,2013
Tampa Bay Rays,1510300.0,18646.0,71163500.0,2013
Texas Rangers,3178273.0,38759.0,139261200.0,2013
Toronto Blue Jays,2536562.0,31316.0,124517800.0,2013
Washington Nationals,2652422.0,32746.0,112493250.0,2013
Arizona Diamondbacks,2073730.0,25602.0,89926500.0,2014
Atlanta Braves,2354305.0,29065.0,108081500.0,2014
Baltimore Orioles,2464473.0,30426.0,109097500.0,2014
Boston Red Sox,2956089.0,36495.0,134628929.0,2014
Chicago Cubs,2652113.0,32742.0,59800500.0,2014
Chicago White Sox,1650821.0,20381.0,87475500.0,2014
Cincinnati Reds,2476664.0,30576.0,102230000.0,2014
Cleveland Indians,1437393.0,17746.0,73509399.0,2014
Colorado Rockies,2680329.0,33090.0,95403500.0,2014
Detroit Tigers,2917209.0,36015.0,169135500.0,2014
Houston Astros,1751829.0,21628.0,44736800.0,2014
Kansas City Royals,1956482.0,24154.0,89804075.0,2014
Los Angeles Angels of Anaheim,3095935.0,38221.0,128667000.0,2014
Los Angeles Dodgers,3782337.0,46696.0,233386026.0,2014
Miami Marlins,1732283.0,21386.0,42365400.0,2014
Milwaukee Brewers,2797384.0,34536.0,109567000.0,2014
Minnesota Twins,2250606.0,27785.0,87044000.0,2014
New York Mets,2148808.0,26528.0,82663615.0,2014
New York Yankees,3401624.0,41995.0,258118959.0,2014
Oakland Athletics,2003628.0,24736.0,89160900.0,2014
Philadelphia Phillies,2423852.0,29924.0,176444967.0,2014
Pittsburgh Pirates,2442564.0,30155.0,80729000.0,2014
San Diego Padres,2195373.0,27103.0,76662100.0,2014
San Francisco Giants,3368697.0,41589.0,163510167.0,2014
Seattle Mariners,2064334.0,25486.0,95471000.0,2014
St. Louis Cardinals,3540649.0,43712.0,129932500.0,2014
Tampa Bay Rays,1446464.0,17858.0,77814300.0,2014
Texas Rangers,2718733.0,33565.0,129801239.0,2014
Toronto Blue Jays,2375525.0,29327.0,136466200.0,2014
Washington Nationals,2579389.0,31844.0,137235080.0,2014
Arizona Diamondbacks,2080145.0,25681.0,64434000.0,2015
Atlanta Braves,2001392.0,24709.0,104037500.0,2015
Baltimore Orioles,2281202.0,29246.0,112989833.0,2015
Boston Red Sox,2880694.0,35564.0,183931900.0,2015
Chicago Cubs,2919122.0,36039.0,115306610.0,2015
Chicago White Sox,1755810.0,21677.0,112889700.0,2015
Cincinnati Reds,2419506.0,29870.0,111572286.0,2015
Cleveland Indians,1388905.0,17361.0,59163766.0,2015
Colorado Rockies,2506789.0,30948.0,96438600.0,2015
Detroit Tigers,2726048.0,33655.0,172284750.0,2015
Houston Astros,2153585.0,26587.0,93256200.0,2015
Kansas City Royals,2708549.0,33439.0,121590475.0,2015
Los Angeles Angels of Anaheim,3012765.0,37195.0,131522500.0,2015
Los Angeles Dodgers,3764815.0,46479.0,265140429.0,2015
Miami Marlins,1752235.0,21633.0,71231500.0,2015
Milwaukee Brewers,2542558.0,31390.0,70869500.0,2015
Minnesota Twins,2220054.0,27408.0,107755000.0,2015
New York Mets,2569753.0,31725.0,98874473.0,2015
New York Yankees,3193795.0,39430.0,214051957.0,2015
Oakland Athletics,1768175.0,21829.0,64016001.0,2015
Philadelphia Phillies,1831080.0,22606.0,103082167.0,2015
Pittsburgh Pirates,2498596.0,30847.0,104457499.0,2015
San Diego Padres,2459752.0,30367.0,125203700.0,2015
San Francisco Giants,3375882.0,41678.0,180018166.0,2015
Seattle Mariners,2193581.0,27081.0,130681400.0,2015
St. Louis Cardinals,3520889.0,43468.0,128241500.0,2015
Tampa Bay Rays,1287054.0,15322.0,64571233.0,2015
Texas Rangers,2491875.0,30764.0,178860789.0,2015
Toronto Blue Jays,2794891.0,34505.0,117917400.0,2015
Washington Nationals,2619843.0,32344.0,176496372.0,2015
Arizona Diamondbacks,2036216.0,25138.0,78399500.0,2016
Atlanta Braves,2020914.0,24950.0,74999750.0,2016
Baltimore Orioles,2172344.0,26819.0,153744833.0,2016
Boston Red Sox,2955434.0,36487.0,218682750.0,2016
Chicago Cubs,3232420.0,39906.0,176097333.0,2016
Chicago White Sox,1746293.0,21559.0,113416000.0,2016
Cincinnati Reds,1894085.0,23384.0,77329561.0,2016
Cleveland Indians,1591667.0,19650.0,94511067.0,2016
Colorado Rockies,2602524.0,32130.0,89707000.0,2016
Detroit Tigers,2493859.0,31173.0,199902000.0,2016
Houston Astros,2306623.0,28477.0,89498000.0,2016
Kansas City Royals,2557712.0,31577.0,125132675.0,2016
Los Angeles Angels,3016142.0,37236.0,139712000.0,2016
Los Angeles Dodgers,3703312.0,45720.0,231342096.0,2016
Miami Marlins,1712417.0,21405.0,72472000.0,2016
Milwaukee Brewers,2314614.0,28575.0,52077500.0,2016
Minnesota Twins,1963912.0,24246.0,93333700.0,2016
New York Mets,2789602.0,34440.0,155221282.0,2016
New York Yankees,3063405.0,37820.0,193229350.0,2016
Oakland Athletics,1521506.0,18784.0,54969067.0,2016
Philadelphia Phillies,1915144.0,23644.0,84846666.0,2016
Pittsburgh Pirates,2249201.0,27768.0,81187933.0,2016
San Diego Padres,2351422.0,29030.0,50656166.0,2016
San Francisco Giants,3365256.0,41546.0,177021333.0,2016
Seattle Mariners,2267928.0,27999.0,137169100.0,2016
St. Louis Cardinals,3444490.0,42525.0,150353500.0,2016
Tampa Bay Rays,1286163.0,15879.0,48223791.0,2016
Texas Rangers,2710402.0,33462.0,212117760.0,2016
Toronto Blue Jays,3392099.0,41878.0,182690767.0,2016
Washington Nationals,2481938.0,30641.0,152967400.0,2016
Arizona Diamondbacks,2134375.0,26350.0,106580200.0,2017
Atlanta Braves,2505252.0,30929.0,119705250.0,2017
Baltimore Orioles,2028424.0,25042.0,161621633.0,2017
Boston Red Sox,2917678.0,36021.0,200550750.0,2017
Chicago Cubs,3199562.0,39501.0,177210667.0,2017
Chicago White Sox,1629470.0,20117.0,97842000.0,2017
Cincinnati Reds,1836917.0,22678.0,79315786.0,2017
Cleveland Indians,2048138.0,25286.0,114427167.0,2017
Colorado Rockies,2953650.0,36465.0,106650000.0,2017
Detroit Tigers,2321599.0,28662.0,118375600.0,2017
Houston Astros,2403671.0,29675.0,157656400.0,2017
Kansas City Royals,2220370.0,27412.0,127555817.0,2017
Los Angeles Angels,3019585.0,37279.0,181125500.0,2017
Los Angeles Dodgers,3765856.0,46492.0,201466263.0,2017
Miami Marlins,1583014.0,20295.0,111591100.0,2017
Milwaukee Brewers,2627705.0,31282.0,68439300.0,2017
Minnesota Twins,2051279.0,25324.0,103932500.0,2017
New York Mets,2460622.0,30378.0,176615252.0,2017
New York Yankees,3154938.0,38950.0,182424700.0,2017
Oakland Athletics,1475721.0,18219.0,51560000.0,2017
Philadelphia Phillies,1905354.0,23523.0,86276000.0,2017
Pittsburgh Pirates,1919447.0,23697.0,102953333.0,2017
San Diego Padres,2138491.0,26401.0,49248767.0,2017
San Francisco Giants,3303652.0,40786.0,177399833.0,2017
Seattle Mariners,2135445.0,26364.0,172438700.0,2017
St. Louis Cardinals,3448337.0,42572.0,129652933.0,2017
Tampa Bay Rays,1253619.0,15477.0,79473033.0,2017
Texas Rangers,2507760.0,30960.0,207326274.0,2017
Toronto Blue Jays,3203886.0,39554.0,158890575.0,2017
Washington Nationals,2524980.0,31173.0,175587301.0,2017
Arizona Diamondbacks,2242695.0,27688.0,134850600.0,2018
Atlanta Braves,2555781.0,31553.0,115848667.0,2018
Baltimore Orioles,1564192.0,19311.0,141555833.0,2018
Boston Red Sox,2895575.0,35748.0,222205000.0,2018
Chicago Cubs,3181089.0,38794.0,205373881.0,2018
Chicago White Sox,1608817.0,19862.0,75092000.0,2018
Cincinnati Reds,1629356.0,20116.0,94587500.0,2018
Cleveland Indians,1926701.0,23786.0,143375233.0,2018
Colorado Rockies,3015880.0,37233.0,136658500.0,2018
Detroit Tigers,1856970.0,22926.0,111531000.0,2018
Houston Astros,2980549.0,36797.0,172781200.0,2018
Kansas City Royals,1665107.0,20557.0,95199167.0,2018
Los Angeles Angels,3020216.0,37287.0,166849666.0,2018
Los Angeles Dodgers,3857500.0,47043.0,164703429.0,2018
Miami Marlins,811104.0,10014.0,86515143.0,2018
Milwaukee Brewers,2850875.0,35196.0,109295700.0,2018
Minnesota Twins,1959197.0,24188.0,110275000.0,2018
New York Mets,2224995.0,27469.0,161403844.0,2018
New York Yankees,3482855.0,42998.0,160643032.0,2018
Oakland Athletics,1573616.0,19427.0,69883333.0,2018
Philadelphia Phillies,2158124.0,26644.0,93874333.0,2018
Pittsburgh Pirates,1465316.0,18316.0,88141000.0,2018
San Diego Padres,2168536.0,26772.0,93821067.0,2018
San Francisco Giants,3156185.0,38965.0,202060277.0,2018
Seattle Mariners,2299489.0,28389.0,157090065.0,2018
St. Louis Cardinals,3403587.0,42020.0,157713667.0,2018
Tampa Bay Rays,1154973.0,14259.0,46569867.0,2018
Texas Rangers,2107107.0,26014.0,106099628.0,2018
Toronto Blue Jays,2325281.0,28707.0,151670772.0,2018
Washington Nationals,2529604.0,31230.0,188886699.0,2018
Arizona Diamondbacks,2135510.0,26364.0,124016266.0,2019
Atlanta Braves,2654920.0,32777.0,133186667.0,2019
Baltimore Orioles,1307807.0,16146.0,82696100.0,2019
Boston Red Sox,2915502.0,35994.0,218978142.0,2019
Chicago Cubs,3094865.0,38208.0,220305215.0,2019
Chicago White Sox,1649775.0,20622.0,80846333.0,2019
Cincinnati Reds,1809075.0,22334.0,109737499.0,2019
Cleveland Indians,1738642.0,21465.0,151257783.0,2019
Colorado Rockies,2993244.0,36954.0,145348500.0,2019
Detroit Tigers,1501430.0,18536.0,100618500.0,2019
Houston Astros,2857367.0,35276.0,166042500.0,2019
Kansas City Royals,1479659.0,18267.0,98183242.0,2019
Los Angeles Angels,3023012.0,37321.0,158078584.0,2019
Los Angeles Dodgers,3974309.0,49066.0,193553333.0,2019
Miami Marlins,811302.0,10016.0,74683643.0,2019
Milwaukee Brewers,2923333.0,36091.0,128842900.0,2019
Minnesota Twins,2303299.0,28436.0,113758333.0,2019
New York Mets,2442532.0,30155.0,154837230.0,2019
New York Yankees,3304404.0,40795.0,228442421.0,2019
Oakland Athletics,1670734.0,20626.0,102935833.0,2019
Philadelphia Phillies,2727421.0,33672.0,141786962.0,2019
Pittsburgh Pirates,1491439.0,18413.0,72915501.0,2019
San Diego Padres,2396399.0,29585.0,90260767.0,2019
San Francisco Giants,2707760.0,33429.0,175450753.0,2019
Seattle Mariners,1791109.0,22112.0,126874600.0,2019
St. Louis Cardinals,3480393.0,42968.0,161120267.0,2019
Tampa Bay Rays,1178735.0,14552.0,57098067.0,2019
Texas Rangers,2132994.0,26333.0,104433499.0,2019
Toronto Blue Jays,1750144.0,21607.0,62180671.0,2019
Washington Nationals,2259781.0,27899.0,203016595.0,2019
Arizona Diamondbacks,,,88176667.0,2020
Atlanta Braves,,,130705000.0,2020
Baltimore Orioles,,,52190000.0,2020
Boston Red Sox,,,171984429.0,2020
Chicago Cubs,,,181560000.0,2020
Chicago White Sox,,,119066333.0,2020
Cincinnati Reds,,,120781165.0,2020
Cleveland Indians,,,101991668.0,2020
Colorado Rockies,,,144730000.0,2020
Detroit Tigers,,,88385000.0,2020
Houston Astros,,,217000000.0,2020
Kansas City Royals,,,68600000.0,2020
Los Angeles Angels,,,181254762.0,2020
Los Angeles Dodgers,,,216508333.0,2020
Miami Marlins,,,68450000.0,2020
Milwaukee Brewers,,,103541667.0,2020
Minnesota Twins,,,134838333.0,2020
New York Mets,,,162078667.0,2020
New York Yankees,,,218635714.0,2020
Oakland Athletics,,,85683333.0,2020
Philadelphia Phillies,,,170148461.0,2020
Pittsburgh Pirates,,,49628500.0,2020
San Diego Padres,,,141953667.0,2020
San Francisco Giants,,,152957778.0,2020
Seattle Mariners,,,92310000.0,2020
St. Louis Cardinals,,,153396167.0,2020
Tampa Bay Rays,,,56351667.0,2020
Texas Rangers,,,122326667.0,2020
Toronto Blue Jays,,,76078572.0,2020
Washington Nationals,,,172237283.0,2020
Arizona Diamondbacks,1043010.0,12877.0,77691667.0,2021
Atlanta Braves,2299647.0,28746.0,127230000.0,2021
Baltimore Orioles,793229.0,9793.0,42075000.0,2021
Boston Red Sox,1725323.0,21300.0,156095000.0,2021
Chicago Cubs,1978934.0,24431.0,144413500.0,2021
Chicago White Sox,1596385.0,19708.0,115546333.0,2021
Cincinnati Reds,1505024.0,18581.0,116784881.0,2021
Cleveland Indians,1114368.0,13758.0,50425500.0,2021
Colorado Rockies,1938645.0,23934.0,92675000.0,2021
Detroit Tigers,1102621.0,13613.0,78590500.0,2021
Houston Astros,2068509.0,25537.0,190400000.0,2021
Kansas City Royals,1159613.0,14316.0,86820000.0,2021
Los Angeles Angels,1515689.0,18484.0,188408595.0,2021
Los Angeles Dodgers,2804693.0,34626.0,248108334.0,2021
Miami Marlins,642617.0,7934.0,35150000.0,2021
Milwaukee Brewers,1824282.0,22522.0,85517626.0,2021
Minnesota Twins,1310199.0,16175.0,120158333.0,2021
New York Mets,1511926.0,18666.0,184675167.0,2021
New York Yankees,1959854.0,24196.0,209799047.0,2021
Oakland Athletics,701430.0,8660.0,94555834.0,2021
Philadelphia Phillies,1515890.0,18715.0,185286962.0,2021
Pittsburgh Pirates,859498.0,10611.0,50255000.0,2021
San Diego Padres,2191950.0,27061.0,154984286.0,2021
San Francisco Giants,1679484.0,20734.0,150863778.0,2021
Seattle Mariners,1215985.0,15012.0,64605500.0,2021
St. Louis Cardinals,2102530.0,25957.0,155329667.0,2021
Tampa Bay Rays,761072.0,9396.0,52937166.0,2021
Texas Rangers,2110258.0,26053.0,67890999.0,2021
Toronto Blue Jays,805901.0,10074.0,121694071.0,2021
Washington Nationals,1465543.0,18093.0,172370147.0,2021
Arizona Diamondbacks,1605199.0,19817.0,78860000.0,2022
Atlanta Braves,3129931.0,38641.0,181075000.0,2022
Baltimore Orioles,1368367.0,16893.0,48000000.0,2022
Boston Red Sox,2625089.0,32409.0,188420000.0,2022
Chicago Cubs,2616780.0,32306.0,131085000.0,2022
Chicago White Sox,2009359.0,24807.0,167458334.0,2022
Cincinnati Reds,1395770.0,17232.0,111882381.0,2022
Cleveland Guardians,1295870.0,15998.0,65960000.0,2022
Colorado Rockies,2597428.0,32067.0,112605000.0,2022
Detroit Tigers,1575544.0,19214.0,117740000.0,2022
Houston Astros,2688998.0,33198.0,164789600.0,2022
Kansas City Royals,1277686.0,15774.0,87410000.0,2022
Los Angeles Angels,2457461.0,30339.0,167063095.0,2022
Los Angeles Dodgers,3861408.0,47672.0,261180131.0,2022
Miami Marlins,907487.0,11204.0,68200000.0,2022
Milwaukee Brewers,2422420.0,29906.0,128421127.0,2022
Minnesota Twins,1801128.0,22236.0,110792857.0,2022
New York Mets,2564737.0,31663.0,240473333.0,2022
New York Yankees,3136207.0,38719.0,238950714.0,2022
Oakland Athletics,787902.0,9849.0,50248334.0,2022
Philadelphia Phillies,2276736.0,28108.0,209488461.0,2022
Pittsburgh Pirates,1257458.0,15524.0,37925000.0,2022
San Diego Padres,2987470.0,36882.0,192600824.0,2022
San Francisco Giants,2482686.0,30650.0,147929667.0,2022
Seattle Mariners,2287267.0,28238.0,78285000.0,2022
St. Louis Cardinals,3320551.0,40994.0,156814666.0,2022
Tampa Bay Rays,1128127.0,13927.0,73004211.0,2022
Texas Rangers,2011361.0,24832.0,120176667.0,2022
Toronto Blue Jays,2653830.0,32763.0,172705857.0,2022
Washington Nationals,2026401.0,25017.0,125051666.0,2022
Arizona Diamondbacks,1961182.0,24212.0,115247571.0,2023
Atlanta Braves,3191505.0,39401.0,194197500.0,2023
Baltimore Orioles,1936798.0,23911.0,82758114.0,2023
Boston Red Sox,2672130.0,32989.0,181282500.0,2023
Chicago Cubs,2775149.0,34261.0,162918250.0,2023
Chicago White Sox,1669628.0,20613.0,140725951.0,2023
Cincinnati Reds,2038302.0,25164.0,77877833.0,2023
Cleveland Guardians,1834068.0,22643.0,70114729.0,2023
Colorado Rockies,2607935.0,32197.0,155645682.0,2023
Detroit Tigers,1612876.0,19912.0,119236836.0,2023
Houston Astros,3052347.0,37683.0,240388766.0,2023
Kansas City Royals,1307052.0,16136.0,88186975.0,2023
Los Angeles Angels,2640575.0,32600.0,218537055.0,2023
Los Angeles Dodgers,3837079.0,47371.0,227091667.0,2023
Miami Marlins,1162819.0,14356.0,114351500.0,2023
Milwaukee Brewers,2551347.0,31498.0,138288760.0,2023
Minnesota Twins,1974124.0,24372.0,137798640.0,2023
New York Mets,2573555.0,31772.0,208427344.0,2023
New York Yankees,3269016.0,40358.0,259417008.0,2023
Oakland Athletics,832352.0,10276.0,51230000.0,2023
Philadelphia Phillies,3052605.0,37686.0,241362606.0,2023
Pittsburgh Pirates,1630624.0,20131.0,72407500.0,2023
San Diego Padres,3271554.0,40390.0,236200139.0,2023
San Francisco Giants,2500153.0,30866.0,177920416.0,2023
Seattle Mariners,2690418.0,33215.0,128155663.0,2023
St. Louis Cardinals,3241091.0,40013.0,174086450.0,2023
Tampa Bay Rays,1440301.0,17781.0,75441212.0,2023
Texas Rangers,2533044.0,31272.0,248537867.0,2023
Toronto Blue Jays,3021904.0,37307.0,211190269.0,2023
Washington Nationals,1865832.0,23035.0,99211578.0,2023
Arizona Diamondbacks,2341876.0,28912.0,161660152.0,2024
Atlanta Braves,3011755.0,37182.0,241662300.0,2024
Baltimore Orioles,2281129.0,28162.0,131181049.0,2024
Boston Red Sox,2659949.0,32839.0,160834775.0,2024
Chicago Cubs,2909794.0,35923.0,223048500.0,2024
Chicago White Sox,1380733.0,17046.0,123336791.0,2024
Cincinnati Reds,2024178.0,24990.0,98323334.0,2024
Cleveland Guardians,2056264.0,25703.0,94230728.0,2024
Colorado Rockies,2540195.0,31360.0,147069963.0,2024
Detroit Tigers,1858295.0,22942.0,105584833.0,2024
Houston Astros,2835234.0,35003.0,275678766.0,2024
Kansas City Royals,1658347.0,20473.0,113442261.0,2024
Los Angeles Angels,2577597.0,31822.0,165637050.0,2024
Los Angeles Dodgers,3941251.0,48657.0,262386278.0,2024
Miami Marlins,1087455.0,13425.0,109992600.0,2024
Milwaukee Brewers,2537202.0,31323.0,115142460.0,2024
Minnesota Twins,1951616.0,24094.0,135262591.0,2024
New York Mets,2329299.0,28757.0,262702250.0,2024
New York Yankees,3309838.0,40862.0,291463084.0,2024
Oakland Athletics,922286.0,11386.0,55690000.0,2024
Philadelphia Phillies,3363712.0,41527.0,248632283.0,2024
Pittsburgh Pirates,1720361.0,21239.0,97476500.0,2024
San Diego Padres,3330545.0,41118.0,159391555.0,2024
San Francisco Giants,2647736.0,32688.0,232370883.0,2024
Seattle Mariners,2555813.0,31553.0,142547548.0,2024
St. Louis Cardinals,2878115.0,35532.0,189534400.0,2024
Tampa Bay Rays,1337739.0,16515.0,128533112.0,2024
Texas Rangers,2651553.0,32735.0,261471834.0,2024
Toronto Blue Jays,2681236.0,33102.0,225628287.0,2024
Washington Nationals,1967302.0,24288.0,132086867.0,2024
Arizona Diamondbacks,2393973.0,29555.0,178806067.0,2025
Atlanta Braves,2903167.0,35842.0,223005000.0,2025
Baltimore Orioles,1803655.0,22267.0,138037000.0,2025
Boston Red Sox,2776496.0,34278.0,196290967.0,2025
Chicago Cubs,3017983.0,37259.0,169675000.0,2025
Chicago White Sox,1445738.0,17849.0,63430000.0,2025
Cincinnati Reds,2170963.0,26802.0,98815833.0,2025
Cleveland Cleveland Guardians,2051360.0,25325.0,88787000.0,2025
Colorado Rockies,2404613.0,29687.0,104724285.0,2025
Detroit Tigers,2413442.0,29796.0,132893334.0,2025
Houston Astros,2727877.0,33677.0,204583333.0,2025
Kansas City Royals,1748801.0,21590.0,110574444.0,2025
Los Angeles Angels,2615506.0,32290.0,172808094.0,2025
Los Angeles Dodgers,4012470.0,49537.0,338188810.0,2025
Miami Miami Marlins,1156880.0,14282.0,,2025
Milwaukee Brewers,2650089.0,32717.0,97448000.0,2025
Minnesota Twins,1768728.0,21836.0,135561190.0,2025
New York Mets,3184570.0,39316.0,314450000.0,2025
New York Yankees,3392659.0,41885.0,265827533.0,2025
Oakland Athletics,768464.0,9487.0,58178571.0,2025
Philadelphia Phillies,3375457.0,41672.0,278674285.0,2025
Pittsburgh Pirates,1525025.0,18827.0,69783500.0,2025
San Diego Padres,3437201.0,42435.0,188104954.0,2025
San Francisco Giants,2925823.0,36121.0,172052858.0,2025
Seattle Mariners,2538053.0,31334.0,144980714.0,2025
St. Louis Cardinals,2250007.0,27778.0,127965000.0,2025
Tampa Bay Tampa Bay Rays,786750.0,9713.0,90516213.0,2025
Texas Rangers,2397069.0,29593.0,208110000.0,2025
Toronto Blue Jays,2849935.0,35184.0,242062381.0,2025
Washington Nationals,1916768.0,23664.0,100160060.0,2025
